track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio,doa_motion_ok,doa_noise_ok,doa_prefilter_keep
1,10.0,371.0,361.0,362,113.78577348066298,113.7,0.1962298898829254,-0.0013010511542685711,0.0054016620498618185,91.22115043114981,79.61748235866699,62.702971289511474,-1.736618634556775,41,0.1132596685082873,True,False,False
3,10.0,370.0,360.0,361,58.61925207756232,58.55,0.10451971756539427,-0.0007464430194415513,0.004583333333333507,325.32422325899427,18.095159435041808,73.19423703154155,0.9198627481345159,57,0.15789473684210525,True,False,False
5,10.0,309.0,299.0,300,9.999666666666666,10.0,0.009994442900376776,5.155612840158832e-06,0.0011705685618729263,44.69799446778045,22.481677195958582,44.31242049297104,-1.6627368764289996,132,0.44,True,False,False
6,10.0,327.0,317.0,318,80.01399371069182,79.95,0.12806282837247784,-0.0011831565481903268,0.003785488958990366,145.16436933579865,62.826930176708466,77.86611434148283,0.2953807212107947,101,0.31761006289308175,True,False,False
7,10.0,396.0,386.0,387,82.06834625322998,82.0,0.11663611562407947,-0.0007174196866346423,0.006347150259067107,8.079463095807196,345.94977418634403,67.7601704912329,1.597033784731957,91,0.2351421188630491,True,False,False
8,10.0,374.0,364.0,365,22.75657534246576,22.75,0.036422903304881224,-0.00016524234804052537,0.0027472527472527865,322.99153272399,272.8503783632327,53.577842333290164,-2.0239386516548903,92,0.25205479452054796,True,False,False
9,10.0,217.0,207.0,208,11.722596153846155,11.7,0.02488416210501484,-0.0003572514442079977,0.0002415458937198102,329.3399204900428,311.02453643520903,66.85881369051818,0.7361494069709305,56,0.2692307692307692,True,False,False
11,10.0,349.0,339.0,340,78.64338235294119,78.6,0.10554634184478712,-0.0008041770155754963,0.003244837758112036,172.40397269961568,319.57241396690165,81.40028933962695,0.896650572352771,130,0.38235294117647056,True,False,False
13,10.0,353.0,343.0,344,128.9552325581395,128.85,0.19689140404415575,-0.0016992603772695116,0.0059766763848396005,33.59263685963581,70.11557530863172,68.325315207758,-1.6859928498069288,70,0.20348837209302326,True,False,False
14,10.0,365.0,355.0,356,91.03005617977529,91.0,0.13301177269434866,-0.0008476769406924544,0.007183098591549168,358.9898683492232,16.818798904523646,69.87890005368634,3.750327178482136,95,0.26685393258426965,True,False,False
15,10.0,68.0,58.0,59,15.07372881355932,15.1,0.04814872105539583,-0.0007831677381647411,0.01034482758620692,333.7559676747622,11.209195713456381,67.4835012983232,3.9924364934292416,31,0.5254237288135594,True,False,False
16,10.0,93.0,83.0,84,21.113690476190474,21.15,0.15475618121284457,0.004734737268401311,0.016265060240963743,133.2704483447389,136.48396098368528,18.746052321847486,0.0024769743398588315,21,0.25,False,True,False
18,10.0,417.0,407.0,408,56.90294117647059,56.9,0.07639985416388571,-0.0001982599206818478,0.006633906633906711,8.07363737018705,332.49480564503676,77.50317700395033,-2.4623210849278743,121,0.2965686274509804,True,False,False
22,10.0,417.0,407.0,408,35.17156862745098,35.15,0.04863822224158733,-0.00026246779446837033,0.0031941031941031175,180.01390080293575,146.53936016253863,57.21629490899395,4.387015690042921,68,0.16666666666666666,True,False,False
23,10.0,402.0,392.0,393,93.7703562340967,93.7,0.15594373395837688,-0.0010932704542273054,0.0061224489795916335,47.735740606073314,157.27708737857648,78.2264531619084,-3.7550686553803696,90,0.22900763358778625,True,False,False
24,10.0,64.0,54.0,55,499.95000000000005,499.95,5.684341886080802e-14,-3.629200165130696e-15,0.0,112.15150736928976,109.34688938583213,62.50217729473235,-1.9687373992089632,9,0.16363636363636364,True,False,False
25,10.0,393.0,383.0,384,140.70781250000002,140.65,0.20027040639366267,-0.0010737915804823368,0.008616187989555943,36.67502231906997,50.914120997698234,60.428842539870715,-0.45951513594904103,68,0.17708333333333334,True,False,False
26,10.0,370.0,360.0,361,46.91301939058172,46.9,0.06634103246102045,-0.0003112007264453862,0.003194444444444342,274.0236323697358,13.652934882460897,76.25001826753606,-1.6341845159611297,87,0.2409972299168975,True,False,False
27,10.0,417.0,407.0,408,68.28112745098038,68.25,0.11829757854487423,-0.00045459669363024356,0.009213759213759038,53.91965902691526,48.05051949817422,69.18457539866348,-1.7908037148642235,103,0.25245098039215685,True,False,False
29,10.0,396.0,386.0,387,45.51498708010336,45.5,0.073278255133794,-0.0004977000085713039,0.005310880829015536,328.71922980936154,7.704628451904341,80.2142701592737,0.4377467843394288,99,0.2558139534883721,True,False,False
30,10.0,130.0,120.0,121,102.59380165289257,102.65,0.12507357304784206,-0.0032390597480013764,0.00791666666666669,234.29413789136137,220.15144042137135,60.86523480649863,1.9271946632973629,15,0.12396694214876033,True,False,False
31,10.0,283.0,273.0,274,91.78503649635037,91.75,0.12430316182736233,-0.0013498909849277497,0.00549450549450539,354.85186964138137,354.7928541028662,65.20114835350908,0.8790134976264155,83,0.3029197080291971,True,False,False
33,10.0,389.0,379.0,380,105.5146052631579,105.45,0.16235471877694468,-0.0009816385956891256,0.007387862796833803,56.38652637876037,37.32327305111494,61.491357188637,0.711672314850293,66,0.1736842105263158,True,False,False
34,10.0,385.0,375.0,376,70.32885638297873,70.25,0.12176023095508666,-0.0008133585416782926,0.0034666666666665073,34.19379439344479,286.0702594775795,62.39358477524575,3.2933127879412893,69,0.18351063829787234,True,False,False
36,59.0,120.0,61.0,62,227.94435483870967,227.95,0.015823723282533782,-0.00020775100098216587,0.001639344262294523,285.5554610856476,280.8086120262948,42.329171972436725,2.5949859727972493,0,0.0,True,False,False
37,62.0,129.0,67.0,68,23.477941176470587,23.5,0.024826386788432905,-0.0010840935985036292,0.0022388059701492855,344.8321533158543,214.02422428366702,79.90657102909435,0.656727924263769,28,0.4117647058823529,True,False,False
38,73.0,282.0,209.0,210,46.03095238095238,46.0,0.05830174071605049,-0.0006358420825867657,0.0031100478468899452,346.8595446803804,70.26825523209573,67.18135694314343,2.6952097057332343,51,0.24285714285714285,True,False,False
49,124.0,345.0,221.0,222,14.21081081081081,14.25,0.09793024852832807,0.00018349620037825493,0.006787330316742097,25.075830019333573,84.81738962628276,74.77013645234872,4.7583432658145295,107,0.481981981981982,True,False,False
52,134.0,373.0,239.0,240,102.31416666666664,102.3,0.04241822197541482,-0.00017695619715621803,0.005857740585774142,44.30970851039665,11.949851844414184,46.148662169881895,0.6475952371606986,41,0.17083333333333334,True,False,False
53,136.0,401.0,265.0,266,499.9499999999998,499.95,1.7053025658242404e-13,1.26430895921656e-15,0.0,224.5144165141179,219.78716232546236,84.11377246480143,-2.8780189906938913,69,0.2593984962406015,True,False,False
56,139.0,357.0,218.0,219,136.44406392694063,136.45,0.06594182800370041,0.00013767180412902505,0.009174311926605895,54.385217592210786,53.344160518744815,28.91017326142239,0.35641053897092967,30,0.136986301369863,True,False,False
62,152.0,221.0,69.0,70,14.877142857142859,14.85,0.08003825615903658,-0.0016796430758463628,0.010869565217391278,347.0670384130117,342.8669918373338,46.97104479039253,-0.2259475068296086,47,0.6714285714285714,True,False,False
70,234.0,377.0,143.0,144,4.526041666666667,4.55,0.03383412868523262,-0.00048579294268948894,0.00454545454545453,0.0,0.0,0.0,0.0,0,0.0,False,True,False
71,246.0,289.0,43.0,44,13.195454545454544,13.2,0.08843216571974453,0.006293164200140992,0.009302325581395357,52.03005941795023,75.10520362229809,57.169515529684425,4.84906933836477,25,0.5681818181818182,True,False,False
73,251.0,331.0,80.0,81,0.5,0.5,0.0,5.643781659307922e-19,0.0,0.0,0.0,0.0,0.0,0,0.0,False,True,False
76,258.0,417.0,159.0,160,36.598437499999996,36.65,0.07233210624439197,0.0006755390835579289,0.007861635220125696,240.81051263898468,249.25362034300178,74.83896949597899,3.0219966511354825,66,0.4125,True,False,False
77,266.0,329.0,63.0,64,2.35859375,2.4,0.0548824649677609,6.295787545787738e-05,0.00873015873015874,0.0,0.0,0.0,0.0,0,0.0,False,True,False
81,310.0,373.0,63.0,64,14.790625000000002,14.8,0.07648273906575297,-0.002342032967033,0.009523809523809575,248.32776786213248,6.191926978730635,76.20146961137314,-2.4454866666784176,37,0.578125,True,False,False
83,330.0,393.0,63.0,64,10.0,10.0,0.0,-1.4717736019870544e-17,0.0,45.78437072390243,49.01193547545398,29.077328211399195,-0.5703011635012663,19,0.296875,True,False,False
84,335.0,417.0,82.0,83,73.39036144578313,73.4,0.11679913540623715,-0.004421518827924826,0.00670731707317087,135.63944228007315,226.27644008388233,44.14321497899718,-16.197109651310114,27,0.3253012048192771,True,False,False
85,336.0,417.0,81.0,82,48.85243902439025,48.85,0.05290490722801003,-0.0006312512924326038,0.013580246913580615,45.63127230101392,32.13297882717858,61.08176671301098,-0.855284366225675,19,0.23170731707317074,True,False,False
86,344.0,385.0,41.0,42,159.09047619047618,159.1,0.022461859838225073,-0.0011506360910784924,0.003658536585365992,79.56327595043214,77.33369140482792,29.80966181392488,0.7092951251746308,9,0.21428571428571427,True,False,False
87,346.0,417.0,71.0,72,71.13402777777777,71.1,0.056412659193520426,0.0004509936330310982,0.009859154929577705,67.69402935118924,83.14758435826838,50.95937322196529,7.015764303356914,14,0.19444444444444445,True,False,False
88,350.0,417.0,67.0,68,85.47132352941178,85.45,0.08673666047235129,-0.001128946062526387,0.006716417910447591,349.35636151654984,340.7112206995429,55.01730474995355,-5.390380959565285,27,0.39705882352941174,True,False,False
89,358.0,410.0,52.0,53,47.41132075471697,47.4,0.026849527303317796,-0.0001007901951297788,0.004807692307692444,33.28516704325303,59.68902180078892,67.23075897924284,1.2901700076380627,23,0.4339622641509434,True,False,False
90,361.0,417.0,56.0,57,61.11842105263159,61.1,0.05098295118147635,-0.002126004666839548,0.007142857142857372,47.80650968418594,35.87946556150968,59.47939918074039,-1.5640042724877503,17,0.2982456140350877,True,False,False
91,367.0,413.0,46.0,47,15.001063829787233,15.0,0.007215244662899324,0.00013297872340426866,0.0010869565217391458,203.01873209699016,176.5459212473557,75.02830614198254,-6.496806861429063,24,0.5106382978723404,True,False,False
93,370.0,415.0,45.0,46,118.5989130434782,118.6,0.11725535606325023,-0.0071877890841806425,0.011111111111111112,74.91927175130384,78.9316851886918,29.41577705866046,-1.322666327791135,10,0.21739130434782608,True,False,False
